rally_uid,actionId,pointId,serverGetPoint
15188,4,4,0.6978029608726501
15191,4,6,0.7432156324386596
15194,6,0,0.8167649269104004
15198,1,7,0.35618720650672914
15201,7,5,0.6986410856246948
15204,7,4,0.6914173126220703
15207,1,6,0.3194180250167847
15210,6,0,0.6837342143058777
15213,0,0,0.8236602306365967
15217,6,0,0.40217661261558535
15220,6,0,0.9997856497764588
15223,13,0,0.6992511034011841
15226,1,7,0.3708212196826935
15229,6,7,0.9997733235359192
15232,1,7,0.7301444172859192
15235,11,1,0.42355153560638426
15238,11,5,0.31268987655639646
15242,1,9,0.7217610716819763
15245,0,0,0.36383838653564454
15249,6,5,0.5120922744274139
15253,6,8,0.725449287891388
15256,4,5,0.7107292413711548
15259,1,9,0.0006493871682323515
15263,1,7,0.3474298596382141
15267,0,0,0.3191837668418884
15271,1,9,0.3721310019493103
15274,13,7,0.7030547618865967
15277,10,5,0.5083682000637054
15281,7,4,0.0003637320420239121
15284,1,0,0.6709421157836915
15287,1,7,0.3021205127239227
15291,1,7,0.6750136852264405
15294,2,0,0.2595969945192337
15295,13,0,0.8340113759040833
15299,3,9,0.7874045372009277
15303,1,0,0.7139858365058899
15306,1,9,0.5716349720954895
15310,11,2,0.3168142318725586
15312,11,8,0.2910687059164047
15316,13,0,0.00040311066259164364
15319,13,0,0.4955152034759521
15323,13,0,0.32765309512615204
15327,13,0,0.761613643169403
15329,13,0,0.5560223162174225
15335,2,0,0.0021047696529421954
15338,11,1,0.6111154437065125
15344,13,9,0.6946340322494506
15347,6,0,0.42761138677597044
15350,1,0,0.8306434869766235
15354,1,9,0.5523022174835205
15358,2,9,0.8431588172912597
15362,13,0,0.7814042806625366
15366,14,0,0.27883757650852203
15370,9,5,0.545227438211441
15374,9,9,0.36897158026695254
15377,10,8,0.39146633744239806
15381,9,5,0.7011952638626099
15384,7,5,0.4146230101585388
15387,10,5,0.9998255491256713
15390,9,6,0.7021158337593079
15393,9,7,0.0002334913471713662
15397,9,0,0.9998296618461608
15401,1,7,0.4620378792285919
15403,1,8,0.3983038604259491
15406,9,7,0.5558420538902282
15410,9,9,0.9997593045234681
15413,9,7,0.6854127407073974
15416,9,7,0.3152302950620651
15418,9,0,0.3150564402341843
15422,9,0,0.9997116565704346
15426,9,7,0.5163730204105377
15430,9,9,0.6735505700111389
15433,9,7,0.7999312043190002
15436,9,7,0.8522677540779113
15440,9,9,0.48736742734909055
15442,7,9,0.28497448563575745
15446,13,0,0.7943253636360168
15450,11,2,0.7747588992118836
15454,2,0,0.6830766916275024
15457,2,0,0.3378500998020172
15460,2,8,0.6897729277610779
15463,13,0,0.7537872314453125
15466,2,9,0.8291454315185547
15470,11,2,0.5230190992355347
15474,4,9,0.5266264200210571
15478,13,0,0.7787643074989319
15482,2,0,0.7002320766448975
15485,1,7,0.7367478966712951
15488,1,9,0.5397782444953918
15492,4,9,0.9997632026672363
15495,11,9,0.9997707486152649
15498,7,7,0.49384152293205263
15501,11,2,0.6924671292304992
15504,6,9,0.7499877572059631
15507,6,9,0.8224871039390564
15511,11,2,0.7205266833305359
15514,2,9,0.7737585306167603
15518,2,0,0.5487065315246582
15522,0,0,0.8136166214942933
15523,1,8,0.27581432163715364
15527,12,0,0.6882707595825195
15530,1,8,0.7211532950401306
15533,1,5,0.3191531777381897
15537,1,8,0.5498056173324585
15541,10,9,0.5059029877185821
15543,12,4,0.557963764667511
15547,12,9,0.5351214587688446
15551,3,7,0.7118411540985108
15554,1,7,0.5559723436832428
15558,12,5,0.4111088693141937
15561,10,7,0.31784855425357816
15563,10,5,0.3822746515274048
15566,12,4,0.38009573221206666
15569,1,7,0.34028459191322324
15573,12,5,0.743180799484253
15576,1,5,0.0002887014823500067
15579,1,8,0.7707527875900269
15583,12,4,0.48141884207725527
15585,10,9,0.3863412916660309
15588,1,8,0.34967809319496157
15592,12,5,0.811680543422699
15596,1,8,0.7137678265571594
15599,0,0,0.7090000987052918
15602,10,9,0.3346580535173416
15603,1,8,0.8086922883987426
15607,12,4,0.9997073173522949
15610,1,5,0.9997815728187561
15613,12,0,0.7605525732040406
15616,1,5,0.44125195741653445
15619,12,0,0.5071347832679749
15622,12,7,0.2933043450117111
15626,1,9,0.3762285351753235
15629,0,0,0.3828024387359619
15632,3,7,0.7059138536453247
15635,6,8,0.5482172071933746
15639,1,6,0.3320854604244232
15641,12,0,0.9994154095649719
15645,1,4,0.5391718685626984
15649,12,6,0.3806334137916565
15652,11,5,0.751189386844635
15655,6,6,0.5547088146209717
15659,12,0,0.2988017201423645
15660,2,0,0.2807577311992645
15664,12,5,0.26368734836578367
15668,10,5,0.5742237150669098
15672,10,5,0.3554638922214508
15675,10,9,0.6970916867256165
15678,12,0,0.00022866424988023936
15681,1,9,0.9998125433921814
