rally_uid,actionId,pointId,serverGetPoint
15188,7,4,0.5912521004605733
15191,10,6,0.6061238866830464
15194,6,0,0.5361713608917562
15198,1,7,0.4665566891855022
15201,7,5,0.6109348370299095
15204,7,4,0.6162953334072576
15207,1,6,0.5697522531059113
15210,6,0,0.660018216006102
15213,5,0,0.6892548250728147
15217,5,0,0.5734979327413807
15220,5,0,0.7205410284713984
15223,13,0,0.661935107866556
15226,1,7,0.5057269290616992
15229,6,7,0.704983633541129
15232,1,7,0.5148769464271953
15235,11,1,0.4956651653106276
15238,11,5,0.5138641066105776
15242,1,9,0.633906175848292
15245,13,0,0.5730954663875023
15249,6,8,0.5802043604686379
15253,6,8,0.6009871219234696
15256,7,5,0.5980024247902944
15259,1,9,0.4615992082221162
15263,1,7,0.4427481453166018
15267,5,0,0.6425099022905898
15271,1,9,0.4938151180377554
15274,6,7,0.5160588150467817
15277,10,5,0.5800815580832952
15281,4,9,0.3747552276070465
15284,13,0,0.472820307108877
15287,1,7,0.4556865239401646
15291,1,7,0.5233838316314543
15294,2,0,0.6061216450866129
15295,13,0,0.5083697733611713
15299,3,9,0.5963958538829796
15303,1,0,0.5335149568188838
15306,1,9,0.481059660958166
15310,11,2,0.5029179519947959
15312,11,8,0.4700571495805303
15316,13,0,0.4350057325838165
15319,13,0,0.4629734191358312
15323,13,0,0.5073996989563037
15327,13,0,0.6157290964083896
15329,13,0,0.4453415938199053
15335,2,0,0.2990882064654167
15338,11,1,0.540515185843097
15344,13,9,0.49932841040966
15347,6,0,0.5341958923470636
15350,1,0,0.5183289538133975
15354,1,9,0.5576654070905062
15358,2,9,0.6162981171539972
15362,13,0,0.6288385200122966
15366,14,0,0.4420993899282075
15370,9,5,0.5682501944463011
15374,9,9,0.5107261942557623
15377,10,8,0.5045749686578558
15381,9,5,0.6161046439393155
15384,7,5,0.5344754341826727
15387,10,5,0.7002202888572523
15390,9,6,0.5790430941432768
15393,9,7,0.377858136962641
15397,9,0,0.7324899705275172
15401,1,7,0.5421141498625938
15403,1,8,0.5639057856423747
15406,9,7,0.5821063975360599
15410,9,9,0.7366956048313229
15413,9,7,0.5938958023346134
15416,9,7,0.4939259715304459
15418,9,0,0.5391770809243909
15422,9,0,0.7733335596006846
15426,9,7,0.5847677874238278
15430,9,9,0.6505081645070917
15433,9,7,0.532462192946892
15436,9,7,0.6051359713206046
15440,9,9,0.5750478588706707
15442,7,9,0.4246302236252641
15446,13,0,0.4987109773070998
15450,11,2,0.5835607793906437
15454,2,0,0.6213515233054274
15457,2,0,0.4408301714288255
15460,2,8,0.5664411670665603
15463,13,0,0.4755485483117647
15466,2,9,0.564069192106866
15470,11,2,0.5393877919706787
15474,4,9,0.5420314130726009
15478,13,0,0.4175269614796722
15482,2,0,0.654530838623237
15485,1,7,0.5532517496662189
15488,1,9,0.565616764564144
15492,4,9,0.6676767728884763
15495,11,9,0.6547169904489362
15498,7,7,0.5153275533280727
15501,11,2,0.6006246032859504
15504,6,9,0.5224948714431601
15507,6,9,0.5641171718771459
15511,11,2,0.5819112303379704
15514,2,9,0.5498509809837049
15518,2,0,0.4718875904195327
15522,0,0,0.6490076342592835
15523,1,8,0.465285122811402
15527,12,0,0.5422158223322414
15530,1,8,0.5437807460375215
15533,1,5,0.453059928693815
15537,1,8,0.5097227568009582
15541,7,9,0.5472190734073248
15543,12,4,0.5211953787660157
